271: 115,188,37
272: 92,287,201,150,46,279
273: 77,246,88,137,9
274: 146,117,259,101,3
275: 28,176,76
276: 185,283,288,132,80,317
277: 133,134
278: 295,225,222,107
279: 46,68,272,150,39
280: 136,20,88
281: 81,26,262,290,168,142
282: 284,289,32,96
283: 49,185,276,43,256,132
284: 
285: 104,214,135,44,305,70
287: 29,92,272,137,195,46
288: 185,276,317,22,156
289: 4,59,96,60,282
290: 32,96,141,262,281,168
291: 154,302,87,193,36
292: 138,47
293: 106,18,308,33,157
294: 212,93,24,173,107
295: 170,278,223
296: 115,319,303,169,103
297: 51,174
298: 215,105,193,198
299: 108,125,251,164,248
300: 27,112
301: 28
302: 291,154,63,183,162
303: 67,318,169,296,319
304: 118,152,154,162,254
305: 229,44,285,221,70
306: 39,116,179,197,120,73
307: 101,3,121,53,189
308: 18,184,293,157,253
309: 31,52,171,87,269
310: 50,189
311: 254,21,102,175,318
312: 158,235,22,139
313: 144,11,231,64,114
314: 46,68,167,164,26
316: 61,199
317: 80,83,288,276,192,22
319: 115,296,188,203,67,303,169
320: 175,244,102,6,153
321: 23,172,86,156
322: 207,197,120,81
